casilla,nivel
a1,0
b3,1
c2,1
a3,2
a5,2
b4,2
c1,2
c5,2
d2,2
d4,2
e1,2
e3,2
a2,3
a4,3
a6,3
b1,3
b5,3
b7,3
c4,3
c6,3
d1,3
d3,3
d5,3
d7,3
e2,3
e4,3
e6,3
f1,3
f3,3
f5,3
g2,3
g4,3
a7,4
b2,4
b6,4
b8,4
c3,4
c7,4
d6,4
d8,4
e5,4
e7,4
f2,4
f4,4
f6,4
f8,4
g1,4
g3,4
g5,4
g7,4
h2,4
h4,4
h6,4
a8,5
c8,5
e8,5
f7,5
g6,5
g8,5
h1,5
h3,5
h5,5
h7,5
h8,6
